player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Evan Mobley,CLE,PF,23.0,71.0,71.0,30.5,0.557,0.37,0.725,9.3,3.2,0.9,1.6,2.0,18.5
Shaedon Sharpe,POR,SG,21.0,72.0,52.0,31.3,0.452,0.311,0.785,4.5,2.8,0.9,0.2,2.1,18.5
Nikola Vucevic,CHI,C,34.0,73.0,72.0,31.2,0.53,0.402,0.805,10.1,3.5,0.8,0.7,1.6,18.5
Collin Sexton,UTA,SG,26.0,63.0,61.0,27.9,0.48,0.406,0.865,2.7,4.2,0.7,0.1,2.5,18.4
Michael Porter Jr.,DEN,SF,26.0,77.0,77.0,33.7,0.504,0.395,0.768,7.0,2.1,0.6,0.5,1.4,18.2
Bam Adebayo,MIA,C,27.0,78.0,78.0,34.3,0.485,0.357,0.765,9.6,4.3,1.3,0.7,2.1,18.1
OG Anunoby,NYK,PF,27.0,74.0,74.0,36.6,0.476,0.372,0.81,4.8,2.2,1.5,0.9,1.4,18.0
Mikal Bridges,NYK,SF,28.0,82.0,82.0,37.0,0.5,0.354,0.814,3.2,3.7,0.9,0.5,1.6,17.6
Jaden Ivey,DET,SG,22.0,30.0,30.0,29.9,0.46,0.409,0.733,4.1,4.0,0.9,0.4,3.0,17.6
Dejounte Murray,NOP,PG,28.0,31.0,31.0,32.6,0.393,0.299,0.823,6.5,7.4,2.0,0.4,3.4,17.5
Malik Monk,SAC,SG,26.0,65.0,45.0,31.6,0.439,0.325,0.865,3.8,5.6,0.9,0.6,2.4,17.2
Immanuel Quickley,TOR,PG,25.0,33.0,33.0,27.8,0.42,0.378,0.867,3.5,5.8,0.7,0.1,1.8,17.1
Bradley Beal,PHO,SG,31.0,53.0,38.0,32.1,0.497,0.386,0.803,3.3,3.7,1.1,0.5,1.9,17.0
Deni Avdija,POR,SF,24.0,72.0,54.0,30.0,0.476,0.365,0.78,7.3,3.9,1.0,0.5,2.7,16.9
Keyonte George,UTA,PG,21.0,67.0,35.0,31.5,0.391,0.343,0.818,3.8,5.6,0.7,0.1,2.7,16.8
Ivica Zubac,LAC,C,27.0,80.0,80.0,32.8,0.628,,0.661,12.6,2.7,0.7,1.1,1.6,16.8
Derrick White,BOS,SG,30.0,76.0,76.0,33.9,0.442,0.384,0.839,4.5,4.8,0.9,1.1,1.7,16.4
Malik Beasley,DET,SG,28.0,82.0,18.0,27.8,0.43,0.416,0.679,2.6,1.7,0.9,0.1,1.0,16.3
Devin Vassell,SAS,SG,24.0,64.0,53.0,31.0,0.443,0.368,0.792,4.0,2.9,1.3,0.5,1.4,16.3
Jordan Clarkson,UTA,SG,32.0,37.0,9.0,26.0,0.408,0.362,0.797,3.2,3.7,0.8,0.2,2.3,16.2
Paul George,PHI,PF,34.0,41.0,41.0,32.5,0.43,0.358,0.814,5.3,4.3,1.8,0.5,2.6,16.2
Jalen Suggs,ORL,PG,23.0,35.0,35.0,28.6,0.41,0.314,0.882,4.0,3.7,1.5,0.9,2.9,16.2
Bennedict Mathurin,IND,SF,22.0,72.0,49.0,29.8,0.458,0.34,0.831,5.3,1.9,0.7,0.3,1.9,16.1
Myles Turner,IND,C,28.0,72.0,72.0,30.2,0.481,0.396,0.773,6.5,1.5,0.8,2.0,1.7,15.6
Christian Braun,DEN,SG,23.0,79.0,77.0,33.9,0.58,0.397,0.827,5.2,2.6,1.1,0.5,1.0,15.4
Jonathan Kuminga,GSW,PF,22.0,47.0,10.0,24.3,0.454,0.305,0.668,4.6,2.2,0.8,0.4,1.5,15.3
Jared McCain,PHI,SG,20.0,23.0,8.0,25.7,0.46,0.383,0.875,2.4,2.6,0.7,0.0,1.6,15.3
Mark Williams,CHO,C,23.0,44.0,41.0,26.6,0.604,0.0,0.804,10.2,2.5,0.7,1.2,1.6,15.3
Kelly Oubre Jr.,PHI,SF,29.0,60.0,57.0,34.6,0.47,0.293,0.751,6.1,1.8,1.5,0.5,1.3,15.1
Chet Holmgren,OKC,C,22.0,32.0,32.0,27.4,0.49,0.379,0.754,8.0,2.0,0.7,2.2,1.8,15.0
Stephon Castle,SAS,SG,20.0,81.0,47.0,26.7,0.428,0.285,0.724,3.7,4.1,0.9,0.3,2.2,14.7
Aaron Gordon,DEN,PF,29.0,51.0,42.0,28.4,0.531,0.436,0.81,4.8,3.2,0.5,0.3,1.4,14.7
P.J. Washington,DAL,PF,26.0,57.0,56.0,32.2,0.453,0.381,0.722,7.8,2.3,1.1,1.1,2.1,14.7
Josh Giddey,CHI,PG,22.0,70.0,69.0,30.2,0.465,0.378,0.781,8.1,7.2,1.2,0.6,2.9,14.6
Jakob Poeltl,TOR,C,29.0,57.0,56.0,29.6,0.627,0.333,0.674,9.6,2.8,1.2,1.2,1.9,14.5
