player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
Cam Thomas,BRK,18.0,0.575,32.6,1.2,0.071,0.3,0.5
Lonzo Ball,CHI,12.2,0.524,15.9,1.2,0.075,0.2,0.4
Eric Gordon,PHI,10.8,0.591,14.4,0.9,0.053,-1.6,0.1
Gui Santos,GSW,11.7,0.575,13.2,1.7,0.11,-1.7,0.1
Landry Shamet,NYK,9.7,0.601,14.8,1.0,0.065,-2.4,-0.1
Svi Mykhailiuk,UTA,9.8,0.526,20.3,-0.1,-0.009,-3.5,-0.3
Andre Drummond,PHI,16.0,0.535,19.1,1.2,0.078,-3.2,-0.2
Jabari Walker,POR,15.0,0.601,16.3,2.0,0.128,-0.8,0.2
Jay Huff,MEM,18.2,0.666,19.6,2.5,0.162,3.5,1.1
Talen Horton-Tucker,CHI,13.8,0.567,21.6,1.1,0.075,-2.4,-0.1
Gary Harris,ORL,6.9,0.524,9.5,1.0,0.067,-2.7,-0.1
Micah Potter,UTA,8.5,0.563,10.3,0.4,0.03,-3.5,-0.3
Jett Howard,ORL,7.1,0.491,19.2,0.1,0.01,-5.3,-0.6
DeAndre Jordan,DEN,15.4,0.621,12.8,1.8,0.127,-1.2,0.2
Quinten Post,GSW,14.2,0.595,19.6,1.7,0.116,0.1,0.4
Blake Wesley,SAS,9.9,0.51,16.7,0.2,0.011,-4.2,-0.4
Sandro Mamukelashvili,SAS,19.7,0.628,20.8,2.2,0.152,2.3,0.7
Jalen Pickett,DEN,10.9,0.545,13.2,1.1,0.078,-1.5,0.1
Tosan Evbuomwan,BRK,11.6,0.53,19.1,0.6,0.044,-3.2,-0.2
Antonio Reeves,NOP,11.7,0.579,18.8,0.4,0.029,-3.2,-0.2
Kyle Lowry,PHI,9.8,0.525,10.1,1.0,0.07,-1.3,0.1
Reed Sheppard,HOU,9.7,0.465,17.8,0.8,0.055,-1.7,0.1
Herbert Jones,NOP,10.4,0.541,14.6,0.4,0.033,-3.6,-0.3
Maxi Kleber,DAL,5.6,0.489,8.7,0.3,0.023,-3.8,-0.3
Jeff Dowtin Jr.,PHI,16.1,0.57,18.6,1.3,0.103,0.2,0.3
Daniel Theis,NOP,12.1,0.558,11.6,1.0,0.077,-3.3,-0.2
Cory Joseph,ORL,10.9,0.547,12.8,1.5,0.114,-0.8,0.2
Zeke Nnaji,DEN,12.0,0.574,12.2,1.2,0.097,-1.3,0.1
Kessler Edwards,DAL,11.3,0.597,11.1,1.2,0.096,-1.4,0.1
Pat Connaughton,MIL,12.1,0.567,15.6,1.2,0.093,-2.3,0.0
Ajay Mitchell,OKC,12.0,0.587,16.2,1.5,0.122,-1.6,0.1
Brandon Ingram,NOP,16.0,0.56,30.2,0.0,0.001,-0.3,0.3
Jared McCain,PHI,15.2,0.589,24.7,0.7,0.057,0.2,0.3
