rank,player_name,position,team,team_abbr,salary
339,Cam Reddish,SF,Los Angeles Lakers,LAL,2463946
340,Patrick Baldwin Jr.,G,LA Clippers,LAC,2448840
341,DaQuan Jeffries,G,Charlotte Hornets,CHO,2425204
342,Tristan Vukcevic,F,Washington Wizards,WAS,2424892
343,Peyton Watson,G,Denver Nuggets,DEN,2413560
344,Aleksej Pokusevski,F,Charlotte Hornets,CHO,2273252
345,Mamadi Diakite,F,Phoenix Suns,PHO,2273252
346,Charlie Brown Jr.,G,Memphis Grizzlies,MEM,2237692
347,James Wiseman,C,Indiana Pacers,IND,2237691
348,Anthony Gill,F,Washington Wizards,WAS,2237691
349,Kevin Porter Jr.,G,Milwaukee Bucks,MIL,2237691
350,Xavier Tillman,F,Boston Celtics,BOS,2237691
351,Garrison Mathews,G,Atlanta Hawks,ATL,2230253
352,Eugene Omoruyi,F,Toronto Raptors,TOR,2196970
353,Dalano Banton,F,Portland Trail Blazers,POR,2196970
354,Jeff Dowtin Jr.,G,Philadelphia 76ers,PHI,2196970
355,Lindy Waters III,F,Detroit Pistons,DET,2196970
356,Kai Jones,PF,Dallas Mavericks,DAL,2196970
357,Jeremiah Robinson-Earl,F,New Orleans Pelicans,NOP,2196970
358,Sam Merrill,G,Cleveland Cavaliers,CLE,2164993
359,Duane Washington Jr.,PG,Charlotte Hornets,CHO,2162607
360,Keon Johnson,G,Brooklyn Nets,BRK,2162606
361,Luka Garza,C,Minnesota Timberwolves,MIN,2162606
362,Neemias Queta,C,Boston Celtics,BOS,2162606
363,Vit Krejci,G,Atlanta Hawks,ATL,2162606
364,Vince Williams Jr.,G,Memphis Grizzlies,MEM,2120693
365,A.J. Lawson,G,Toronto Raptors,TOR,2120693
366,Colby Jones,G,Washington Wizards,WAS,2120693
367,Keon Ellis,G,Sacramento Kings,SAC,2120693
368,Kendall Brown,G,Boston Celtics,BOS,2120693
369,AJ Green,G,Milwaukee Bucks,MIL,2120693
370,Stanley Umude,G,Milwaukee Bucks,MIL,2120693
371,E.J. Liddell,F,Chicago Bulls,CHI,2120693
372,Jericho Sims,C,Milwaukee Bucks,MIL,2092344
373,Sam Hauser,F,Boston Celtics,BOS,2092344
374,Jay Huff,C,Memphis Grizzlies,MEM,2088033
375,Seth Curry,G,Charlotte Hornets,CHO,2087519
376,Taj Gibson,F,Charlotte Hornets,CHO,2087519
377,Scotty Pippen Jr.,G,Memphis Grizzlies,MEM,2087519
378,Bruno Fernando,F,Toronto Raptors,TOR,2087519
379,Garrett Temple,G,Toronto Raptors,TOR,2087519
380,Reggie Jackson,PG,Philadelphia 76ers,PHI,2087519
381,Daniel Theis,C,New Orleans Pelicans,NOP,2087519
382,Charles Bassey,C,San Antonio Spurs,SAS,2087519
383,Sandro Mamukelashvili,F,San Antonio Spurs,SAS,2087519
384,Jordan McLaughlin,G,San Antonio Spurs,SAS,2087519
385,Doug McDermott,F,Sacramento Kings,SAC,2087519
386,Bol Bol,C,Phoenix Suns,PHO,2087519
387,Tyus Jones,G,Phoenix Suns,PHO,2087519
388,Monte Morris,PG,Phoenix Suns,PHO,2087519
389,Damion Lee,SG,Phoenix Suns,PHO,2087519
390,Mason Plumlee,C,Phoenix Suns,PHO,2087519
391,Guerschon Yabusele,F,Philadelphia 76ers,PHI,2087519
392,Kyle Lowry,G,Philadelphia 76ers,PHI,2087519
393,Tyler Kolek,G,New York Knicks,NYK,2087519
394,Delon Wright,G,New York Knicks,NYK,2087519
395,Cameron Payne,PG,New York Knicks,NYK,2087519
396,PJ Dozier,G,Minnesota Timberwolves,MIN,2087519
397,Joe Ingles,F,Minnesota Timberwolves,MIN,2087519
398,Gary Trent Jr.,G,Milwaukee Bucks,MIL,2087519
399,Taurean Prince,F,Milwaukee Bucks,MIL,2087519
400,Alec Burks,SG,Miami Heat,MIA,2087519
401,Markieff Morris,PF,Los Angeles Lakers,LAL,2087519
402,Patty Mills,PG,LA Clippers,LAC,2087519
403,Thomas Bryant,C,Indiana Pacers,IND,2087519
404,James Johnson,PF,Indiana Pacers,IND,2087519
405,Vlatko Cancar,SF,Denver Nuggets,DEN,2087519
406,DeAndre Jordan,C,Denver Nuggets,DEN,2087519
407,Spencer Dinwiddie,PG,Dallas Mavericks,DAL,2087519
408,Tristan Thompson,C,Cleveland Cavaliers,CLE,2087519
409,Talen Horton-Tucker,SF,Chicago Bulls,CHI,2087519
410,Mo Bamba,C,New Orleans Pelicans,NOP,2087519
411,Luke Kornet,C,Boston Celtics,BOS,2087519
412,Duop Reath,C,Portland Trail Blazers,POR,2048780
413,Jaylin Williams,F,Oklahoma City Thunder,OKC,2019699
414,Bryce McGowens,G,Portland Trail Blazers,POR,2019699
415,Jabari Walker,F,Portland Trail Blazers,POR,2019699
416,Josh Minott,F,Minnesota Timberwolves,MIN,2019699
417,Andrew Nembhard,G,Indiana Pacers,IND,2019699
418,Jaden Hardy,G,Dallas Mavericks,DAL,2019699
419,Caleb Houstan,G,Orlando Magic,ORL,2019693
420,JT Thor,F,Washington Wizards,WAS,1988598
421,Jose Alvarado,G,New Orleans Pelicans,NOP,1988598
422,Matt Ryan,F,New York Knicks,NYK,1919558
423,Mouhamed Gueye,F,Atlanta Hawks,ATL,1891858
424,GG Jackson,F,Memphis Grizzlies,MEM,1891857
425,Javon Freeman-Liberty,G,Toronto Raptors,TOR,1891857
426,Rayan Rupert,G,Portland Trail Blazers,POR,1891857
427,Sidy Cissoko,G,Portland Trail Blazers,POR,1891857
428,Toumani Camara,F,Portland Trail Blazers,POR,1891857
429,Ricky Council IV,G,Philadelphia 76ers,PHI,1891857
430,Maxwell Lewis,F,Brooklyn Nets,BRK,1891857
431,Jalen Wilson,F,Brooklyn Nets,BRK,1891857
432,Leonard Miller,F,Minnesota Timberwolves,MIN,1891857
433,Chris Livingston,F,Milwaukee Bucks,MIL,1891857
434,Andre Jackson Jr.,G,Milwaukee Bucks,MIL,1891857
435,Gui Santos,F,Golden State Warriors,GSW,1891857
436,Trayce Jackson-Davis,F,Golden State Warriors,GSW,1891857
437,Jalen Pickett,G,Denver Nuggets,DEN,1891857
438,Hunter Tyson,F,Denver Nuggets,DEN,1891857
439,Craig Porter Jr.,G,Cleveland Cavaliers,CLE,1891857
440,Julian Phillips,F,Chicago Bulls,CHI,1891857
441,Onuralp Bitim,SF,Chicago Bulls,CHI,1891857
442,Jordan Walsh,G,Boston Celtics,BOS,1891857
443,Jonathan Mogbo,F,Toronto Raptors,TOR,1862265
444,Jamal Shead,G,Toronto Raptors,TOR,1862265
445,Johnny Furphy,G,Indiana Pacers,IND,1850842
446,Pacome Dadiet,F,New York Knicks,NYK,1808080
447,Justin Champagnie,F,Washington Wizards,WAS,1800000
448,Jae Crowder,PF,Sacramento Kings,SAC,1655619
449,Paul Reed,F,Detroit Pistons,DET,1427671
450,Karlo Matkovic,F,New Orleans Pelicans,NOP,1407153
451,Landry Shamet,G,New York Knicks,NYK,1343690
452,Bobi Klintman,F,Detroit Pistons,DET,1257153
453,Jaylen Wells,F,Memphis Grizzlies,MEM,1157153
454,Oso Ighodaro,F,Phoenix Suns,PHO,1157153
455,Adem Bona,C,Philadelphia 76ers,PHI,1157153
